trigger_time,symbol_code,symbol_name,old_buy_score,entry_delta,new_buy_score,entry_quality_score,crowding_score,reason
2026-06-17 18:00:00,001389.SZ,广合科技,99.5,4.0,99.5,70.0,30.0,"sector_starting=4.3%,ret5=13.5%_mild,sector_starting_stock_running,volume_confirmed,short_setup,sector_strong_but_not_crowded"
2026-06-18 18:00:00,002916.SZ,深南电路,99.0,3.0,99.5,67.5,30.0,"sector_starting=6.3%,breakout_offsets,ret5=20.6%_extended,sector_starting_stock_running,volume_confirmed,short_setup,sector_strong_but_not_crowded"
2026-06-18 18:00:00,688256.SH,寒武纪,99.0,-14.0,85.0,25.0,0.0,"ret5=23.6%_extended,accel_end=14.2%/23.6%,prev_chg=14.2%,volume_confirmed,short_setup"
2026-06-18 18:00:00,002837.SZ,英维克,99.5,-1.0,98.5,57.5,0.0,"ret5=10.8%_mild,short_setup"
2026-06-29 18:00:00,002384.SZ,东山精密,99.5,0.0,99.5,60.0,10.0,"sector_cold=-2.4%,ret5=-7.7%_normal"
2026-06-29 18:00:00,605358.SH,立昂微,95.0,-2.0,93.0,55.0,55.0,"sector_warm=9.7%,ret5=14.8%_mild"
2026-06-29 18:00:00,002281.SZ,光迅科技,99.5,0.0,99.5,60.0,0.0,ret5=-14.5%_normal
2026-06-29 18:00:00,002463.SZ,沪电股份,99.5,0.0,99.5,60.0,10.0,"sector_cold=-2.4%,ret5=-2.9%_normal"
2026-06-29 18:00:00,002378.SZ,章源钨业,99.5,0.0,99.5,60.0,10.0,"sector_cold=-3.9%,ret5=-15.8%_normal"
2026-06-29 18:00:00,688608.SH,恒玄科技,99.5,0.0,99.5,60.0,0.0,ret5=1.8%_normal
2026-06-29 18:00:00,688721.SH,龙图光罩,87.0,-4.0,83.0,50.0,55.0,"sector_warm=9.7%,ret5=8.3%_mild,rsi_hot=84.7"
2026-06-29 18:00:00,688584.SH,上海合晶,87.0,-11.0,76.0,32.5,55.0,"sector_warm=9.7%,ret5=19.7%_extended,rsi_hot=81.9,ma20_warm=25.0%"
2026-06-25 18:00:00,300502.SZ,新易盛,99.0,0.0,99.0,60.0,0.0,"ret5=9.4%_mild,volume_confirmed,short_setup"
2026-06-25 18:00:00,002463.SZ,沪电股份,99.0,3.0,99.5,67.5,30.0,"sector_starting=4.4%,ret5=5.8%_early,ret5=5.8%_normal,volume_confirmed,short_setup"
2026-06-25 18:00:00,002156.SZ,通富微电,96.0,-4.0,92.0,50.0,55.0,"sector_warm=10.3%,ret5=15.8%_extended"
2026-06-25 18:00:00,002384.SZ,东山精密,96.0,2.0,98.0,65.0,30.0,"sector_starting=4.4%,ret5=7.3%_early,ret5=7.3%_normal,short_setup"
2026-06-25 18:00:00,603690.SH,至纯科技,87.0,-11.0,76.0,32.5,55.0,"sector_warm=10.3%,ret5=19.5%_extended,rsi_hot=80.5,ma20_warm=23.6%"
2026-06-22 18:00:00,300502.SZ,新易盛,99.5,-1.0,98.5,57.5,0.0,"ret5=14.5%_mild,short_setup"
2026-06-22 18:00:00,300394.SZ,天孚通信,99.5,-2.0,97.5,55.0,0.0,"ret5=16.1%_extended,volume_confirmed,short_setup"
2026-06-22 18:00:00,300308.SZ,中际旭创,91.0,-7.0,84.0,42.5,0.0,"ret5=20.3%_extended,short_setup"
2026-06-24 18:00:00,600584.SH,长电科技,96.0,-9.0,87.0,37.5,55.0,"sector_warm=9.8%,ret5=23.3%_extended,ma20_warm=19.4%"
2026-06-24 18:00:00,603005.SH,晶方科技,95.0,-2.0,93.0,55.0,55.0,"sector_warm=9.8%,ret5=12.2%_mild"
2026-06-24 18:00:00,300394.SZ,天孚通信,99.5,0.0,99.5,60.0,0.0,ret5=0.2%_normal
2026-06-24 18:00:00,002185.SZ,华天科技,99.0,-4.0,95.0,50.0,55.0,"sector_warm=9.8%,ret5=17.7%_extended"
2026-06-30 18:00:00,688216.SH,气派科技,95.0,-10.0,85.0,35.0,80.0,"sector_crowded=15.7%,ret5=8.1%_mild,crowd_stock_exhaust,sector1d_hot=6.3%,sector_rank_hot=1"
2026-06-30 18:00:00,688135.SH,利扬芯片,87.0,-10.0,77.0,35.0,80.0,"sector_crowded=15.7%,ret5=9.9%_mild,crowd_stock_exhaust,sector1d_hot=6.3%,sector_rank_hot=1"
2026-06-30 18:00:00,688721.SH,龙图光罩,87.0,-13.0,74.0,27.5,80.0,"sector_crowded=15.7%,ret5=11.9%_mild,crowd_stock_exhaust,sector1d_hot=6.3%,sector_rank_hot=1,rsi_hot=84.6,ma20_warm=19.3%"
2026-06-30 18:00:00,688372.SH,伟测科技,87.0,-13.0,74.0,27.5,80.0,"sector_crowded=15.7%,ret5=17.5%_extended,crowd_stock_exhaust,sector1d_hot=6.3%,sector_rank_hot=1,ma20_warm=18.1%"
